callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-11 17:17:10+00:00,2020-04-11 17:29:59+00:00,2020-04-11 00:00:00+00:00,53.48368835449219,8.185834612165179,304.8,53.88593770689883,7.883579029756434,381.0
N310TN,,a34887,N310TN,,KSTS,CL36,2020-04-11 17:34:04+00:00,2020-04-11 18:56:06+00:00,2020-04-11 00:00:00+00:00,38.52449061506886,-122.8231201171875,609.6,38.613126075873936,-122.9051513671875,792.48
ENY3691,,a23138,N240NN,E75L,KDFW,,2020-04-11 17:45:00+00:00,2020-04-11 19:04:18+00:00,2020-04-11 00:00:00+00:00,32.891902600304554,-97.03007289341521,304.8,25.777975825940146,-100.1048825821787,11887.2
N4774D,,a5de03,N4774D,,KPOC,KPOC,2020-04-11 19:30:59+00:00,2020-04-11 20:33:49+00:00,2020-04-11 00:00:00+00:00,34.099868774414055,-117.8401402064732,304.8,34.106689453125,-117.7872264628508,624.84
OAS,,7c46f2,VH-OAS,B06,,YSRI,2020-04-11 23:16:11+00:00,2020-04-12 01:16:42+00:00,2020-04-12 00:00:00+00:00,-33.53707006422144,150.62771544164542,609.6,-33.52538545252912,150.62771544164542,670.5600000000002
JAZ,,7c2da9,,,YSCN,YOAS,2020-04-12 00:00:29+00:00,2020-04-12 01:58:59+00:00,2020-04-12 00:00:00+00:00,-34.10202802237819,150.6526565551758,609.6,-34.099868774414055,150.56319879025833,944.88
OAS,,7c46f2,VH-OAS,B06,,YSRI,2020-04-12 02:09:37+00:00,2020-04-12 04:04:20+00:00,2020-04-12 00:00:00+00:00,-33.536636352539055,150.6376647949219,304.8,-33.58581025721663,150.7781982421875,213.36
FJF,,7c1a99,,,,YOAS,2020-04-12 02:17:32+00:00,2020-04-12 02:54:57+00:00,2020-04-12 00:00:00+00:00,-33.853866577148445,148.8170452507175,2133.6,-34.07065181408899,150.53758621215817,1310.64
LNI964,,8a04bd,PK-LPJ,B738,,,2020-04-12 02:29:07+00:00,2020-04-12 04:19:41+00:00,2020-04-12 00:00:00+00:00,-7.1465606689453125,108.29866053694391,10972.8,3.451950073242188,99.34382551807468,3215.64
FDX94,FX94,abc591,N858FD,B77L,PANC,KOAK,2020-04-12 04:19:10+00:00,2020-04-12 08:11:29+00:00,2020-04-12 00:00:00+00:00,61.20599779032045,-150.018310546875,0.0,37.70810402045815,-122.2242139733356,-68.58
JIA5092,OH5092,a794d9,N588NN,CRJ9,KGRR,KCLT,2020-04-12 10:20:30+00:00,2020-04-12 11:35:59+00:00,2020-04-12 00:00:00+00:00,42.85878326933263,-85.4266139439174,1524.0,35.26890641551907,-80.9394933822307,449.58
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-12 14:02:46+00:00,2020-04-12 15:43:15+00:00,2020-04-12 00:00:00+00:00,40.73112487792969,-73.4124755859375,0.0,40.73725891113281,-73.41448974609375,-15.24
N350BT,,a3e4f8,N350BT,,KLDJ,K4N1,2020-04-12 15:42:37+00:00,2020-04-12 15:56:44+00:00,2020-04-12 00:00:00+00:00,40.631491450940146,-74.23686634410512,0.0,41.14544677734375,-74.30419921875,617.22
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-12 17:07:30+00:00,2020-04-12 17:46:53+00:00,2020-04-12 00:00:00+00:00,40.64570617675781,-73.33306884765625,-304.8,40.73799133300781,-73.41400146484375,0.0
ENY3691,,a2c56d,N278NN,,KDFW,,2020-04-12 17:37:20+00:00,2020-04-12 19:04:19+00:00,2020-04-12 00:00:00+00:00,32.904647827148445,-97.02993164062497,304.8,26.26952090505826,-100.2285883976863,10363.2
N350BT,,a3e4f8,N350BT,,K4N1,KLDJ,2020-04-12 18:04:20+00:00,2020-04-12 18:21:02+00:00,2020-04-12 00:00:00+00:00,41.11903381347656,-74.3607177734375,304.8,40.59960316803495,-74.38181096857244,373.38
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-12 23:23:23+00:00,2020-04-12 23:58:24+00:00,2020-04-12 00:00:00+00:00,-33.53474245233053,150.72087501992982,0.0,-33.52710788532841,150.7665019132653,121.92
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-13 02:11:32+00:00,2020-04-13 02:55:10+00:00,2020-04-13 00:00:00+00:00,-33.51461791992188,150.7843322753906,0.0,-33.55592372053763,150.8090400695801,152.4
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-13 03:11:37+00:00,2020-04-13 03:40:29+00:00,2020-04-13 00:00:00+00:00,-33.54949951171875,150.8429577885842,0.0,-33.61395263671875,150.7416145169005,121.92
YEN,,7c7a1d,,,YSNW,YOAS,2020-04-13 06:31:50+00:00,2020-04-13 06:48:43+00:00,2020-04-13 00:00:00+00:00,-34.89797818458686,150.53890228271482,1828.8,-34.14889526367188,150.5019331951531,1264.92
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-13 06:44:16+00:00,2020-04-13 07:59:08+00:00,2020-04-13 00:00:00+00:00,53.53125620696504,8.243300494025736,304.8,53.58769226074219,8.169355119977679,259.08
DEJFC,,3d1cf0,,,EDAQ,EDBM,2020-04-13 07:19:51+00:00,2020-04-13 07:42:59+00:00,2020-04-13 00:00:00+00:00,51.62103168034957,11.96784973144531,609.6,52.073798745365465,11.63428606305804,53.34
DEJFC,,3d1cf0,,,EDBM,EDAQ,2020-04-13 08:06:37+00:00,2020-04-13 08:25:47+00:00,2020-04-13 00:00:00+00:00,52.073472879700745,11.620396205357142,0.0,51.526996159957626,12.06459045410156,228.6
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-13 08:19:01+00:00,2020-04-13 09:06:25+00:00,2020-04-13 00:00:00+00:00,53.49205922272245,8.060168098000917,0.0,53.59419483249471,8.16776948816636,266.7
JIA5092,OH5092,a71337,N555NN,CRJ9,KGRR,KCLT,2020-04-13 10:26:06+00:00,2020-04-13 11:55:23+00:00,2020-04-13 00:00:00+00:00,42.87625122070312,-85.54223348928048,609.6,35.27659606933594,-80.97198486328125,617.22
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-13 11:40:07+00:00,2020-04-13 12:10:59+00:00,2020-04-13 00:00:00+00:00,53.49119567871094,8.203962053571429,304.8,53.59465026855469,8.166765485491071,228.6
DEJFC,,3d1cf0,,,EDAQ,EDBM,2020-04-13 13:49:55+00:00,2020-04-13 14:26:29+00:00,2020-04-13 00:00:00+00:00,51.58118296477754,11.95884704589844,304.8,52.07375219312765,11.63397216796875,38.1
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-13 13:57:01+00:00,2020-04-13 14:39:20+00:00,2020-04-13 00:00:00+00:00,53.47297668457031,8.135140555245536,304.8,53.58814304157838,8.169385124655333,236.22
SKW5714,OO5714,ad48df,N955SW,CRJ2,,KDEN,2020-04-13 14:31:55+00:00,2020-04-13 15:53:37+00:00,2020-04-13 00:00:00+00:00,32.13770979541843,-110.76079699457908,2743.2,39.799323647709215,-104.66082763671879,1805.94
DEJFC,,3d1cf0,,,EDBM,EDAQ,2020-04-13 14:49:13+00:00,2020-04-13 15:08:04+00:00,2020-04-13 00:00:00+00:00,52.07328667074946,11.620867047991071,0.0,51.53016171212924,12.05253601074219,243.84
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-13 16:14:36+00:00,2020-04-13 16:25:42+00:00,2020-04-13 00:00:00+00:00,53.472088312698624,8.140707576976103,304.8,53.72873079978813,8.115342084099264,373.38
ENY3691,,a1ed5f,N223NN,E75L,KDFW,,2020-04-13 17:43:05+00:00,2020-04-13 18:59:25+00:00,2020-04-13 00:00:00+00:00,32.896133422851555,-97.03009643554684,0.0,26.35276794433594,-100.1859844855542,10972.8
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-13 17:58:00+00:00,2020-04-13 18:16:49+00:00,2020-04-13 00:00:00+00:00,53.47343444824219,8.130902971540179,304.8,53.862102961136124,7.8901223575367645,327.66
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-13 19:47:17+00:00,2020-04-13 20:30:28+00:00,2020-04-13 00:00:00+00:00,53.58325505660752,8.171323888442096,0.0,53.59355163574219,8.167393275669644,228.6
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-13 21:12:19+00:00,2020-04-13 21:26:54+00:00,2020-04-13 00:00:00+00:00,53.47270202636719,8.138436453683036,304.8,53.79071044921875,8.068516322544644,320.04
JAZ,,7c2da9,,,YOAS,YSCN,2020-04-13 22:23:22+00:00,2020-04-13 23:02:30+00:00,2020-04-13 00:00:00+00:00,-34.089889526367195,150.604285415338,609.6,-34.01632690429688,150.7084313217474,236.22
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-13 22:40:02+00:00,2020-04-13 22:54:48+00:00,2020-04-13 00:00:00+00:00,53.47418316340042,8.13319486730239,304.8,53.790086649231995,8.070104262408089,373.38
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-14 01:20:07+00:00,2020-04-14 01:40:54+00:00,2020-04-14 00:00:00+00:00,-33.661239624023445,150.76285848812182,0.0,-33.61606921179822,150.7651519775391,30.48
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-14 01:41:34+00:00,2020-04-14 01:57:58+00:00,2020-04-14 00:00:00+00:00,53.47306590969279,8.136749267578125,304.8,53.86372375488281,7.923418317522322,381.0
BMX,,7c06d7,,,YOAS,YSCN,2020-04-14 02:12:05+00:00,2020-04-14 04:36:32+00:00,2020-04-14 00:00:00+00:00,-34.052077471199716,150.6134033203125,304.8,-33.98532156216896,150.65477371215817,457.2
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-14 02:56:43+00:00,2020-04-14 04:21:18+00:00,2020-04-14 00:00:00+00:00,-33.62063133110434,150.7951927185059,0.0,-33.647964477539055,150.7750779755262,91.44
LGO,,7c3896,,,YOAS,YOAS,2020-04-14 03:41:43+00:00,2020-04-14 04:23:58+00:00,2020-04-14 00:00:00+00:00,-34.084304809570305,150.6258096500319,304.8,-34.096302097126625,150.5834770202637,678.1800000000002
JIA5092,OH5092,a72f91,N562NN,CRJ9,KGRR,K8A6,2020-04-14 10:34:09+00:00,2020-04-14 11:50:59+00:00,2020-04-14 00:00:00+00:00,42.85640910520392,-85.5126735142299,609.6,35.17098999023438,-80.77781832948024,2217.42
DAL3124,DL3124,a3b028,N337DN,,KPHX,KSLC,2020-04-14 13:09:16+00:00,2020-04-14 14:20:11+00:00,2020-04-14 00:00:00+00:00,33.42883611129502,-112.0205813038106,0.0,40.78628540039062,-112.09588623046879,3169.92
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-14 13:30:06+00:00,2020-04-14 13:55:28+00:00,2020-04-14 00:00:00+00:00,40.73767710540254,-73.4138280695135,0.0,40.64191915221133,-73.32793495871806,68.58
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-14 14:15:04+00:00,2020-04-14 14:36:40+00:00,2020-04-14 00:00:00+00:00,40.65010070800781,-73.338623046875,0.0,40.73018219511388,-73.41183055530894,15.24
SKW5714,OO5714,ada6b9,N979SW,CRJ2,KTUS,CO12,2020-04-14 14:39:22+00:00,2020-04-14 16:06:57+00:00,2020-04-14 00:00:00+00:00,32.102645874023445,-110.92296752929691,914.4,39.99307250976562,-104.6949462890625,2186.94
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-14 16:34:49+00:00,2020-04-14 17:38:18+00:00,2020-04-14 00:00:00+00:00,40.73697882183527,-73.4143898703835,0.0,40.71990966796875,-73.41424560546875,38.1
ENY3691,,a2d2eb,N281NN,,KDFW,,2020-04-14 17:43:31+00:00,2020-04-14 18:57:15+00:00,2020-04-14 00:00:00+00:00,32.89874267578125,-97.03004150390628,304.8,26.30406266551907,-100.2665123572716,10972.8
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-14 18:39:35+00:00,2020-04-14 19:02:20+00:00,2020-04-14 00:00:00+00:00,40.73823573225636,-73.41407775878906,0.0,40.64204406738281,-73.33062744140625,53.34
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-14 22:45:34+00:00,2020-04-15 00:53:55+00:00,2020-04-15 00:00:00+00:00,-33.626907348632805,150.7921179946588,0.0,-33.621963500976555,150.8082051179847,182.88
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-15 00:10:25+00:00,2020-04-15 00:26:34+00:00,2020-04-15 00:00:00+00:00,53.48423767089844,8.193525041852679,304.8,53.88533252780721,7.868230483111214,365.76
EXS,,7c178e,,,YOAS,YBAO,2020-04-15 01:12:39+00:00,2020-04-15 01:56:56+00:00,2020-04-15 00:00:00+00:00,-34.14583367816476,150.5624198913574,609.6,-35.5916748046875,150.0450897216797,2225.04
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-15 01:34:14+00:00,2020-04-15 03:51:18+00:00,2020-04-15 00:00:00+00:00,-33.58547973632812,150.7995730030293,0.0,-33.591110229492195,150.79867615991708,243.84
LNI964,,8a0751,,,,,2020-04-15 02:41:13+00:00,2020-04-15 04:31:06+00:00,2020-04-15 00:00:00+00:00,-7.2108306884765625,108.53691489009529,9448.8,3.434018927105402,99.35708407698006,3375.66
JAZ,,7c2da9,,,YSCN,YOAS,2020-04-15 03:30:15+00:00,2020-04-15 05:31:57+00:00,2020-04-15 00:00:00+00:00,-34.026123046875,150.71011290258292,0.0,-34.10486770888508,150.5538940429688,853.4400000000002
BMX,,7c06d7,,,,YOAS,2020-04-15 03:43:20+00:00,2020-04-15 04:11:55+00:00,2020-04-15 00:00:00+00:00,-33.79883329747088,149.3048858642578,2133.6,-34.063203456038124,150.4971313476562,944.88
ZWF,,7c81ad,,,,YOAS,2020-04-15 04:52:38+00:00,2020-04-15 05:15:37+00:00,2020-04-15 00:00:00+00:00,-33.57878086930617,149.88241195678708,2133.6,-34.06441381422144,150.55738449096683,952.5
JIA5092,OH5092,a7d754,N604NN,,KGRR,SC08,2020-04-15 10:40:26+00:00,2020-04-15 11:56:48+00:00,2020-04-15 00:00:00+00:00,42.85643005371094,-85.51246820494184,609.6,35.10250854492188,-81.05909075055803,1592.58
DAL3124,DL3124,a4a0d9,N398DN,,KPHX,KU42,2020-04-15 13:04:40+00:00,2020-04-15 14:15:46+00:00,2020-04-15 00:00:00+00:00,33.440872192382805,-112.02099609375,304.8,40.6015583620233,-111.9531180641868,2293.62
SKW5714,OO5714,ad504d,N957SW,CRJ2,,CO12,2020-04-15 14:24:36+00:00,2020-04-15 15:57:58+00:00,2020-04-15 00:00:00+00:00,32.15051166081832,-110.7648327885842,2743.2,39.95022583007812,-104.69549560546879,1958.34
ENY3691,,a272b8,N257NN,E75L,KDFW,,2020-04-15 17:37:23+00:00,2020-04-15 18:49:20+00:00,2020-04-15 00:00:00+00:00,32.8831787109375,-97.0301513671875,304.8,26.29115295410156,-100.1857771963443,10972.8
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-15 20:44:03+00:00,2020-04-15 21:43:28+00:00,2020-04-15 00:00:00+00:00,53.57835388183594,8.173121861049108,304.8,53.4971923828125,8.049447195870536,22.86
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-15 22:46:14+00:00,2020-04-15 23:17:40+00:00,2020-04-15 00:00:00+00:00,-33.60080007779396,150.8061790466309,0.0,-33.559249877929695,150.7780487683355,243.84
N310TN,,a34887,N310TN,,KSTS,KSTS,2020-04-15 23:04:51+00:00,2020-04-15 23:25:20+00:00,2020-04-15 00:00:00+00:00,38.441394870564096,-122.86480712890621,609.6,38.48025512695312,-122.72385306980301,601.98
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-15 23:55:14+00:00,2020-04-16 00:12:59+00:00,2020-04-16 00:00:00+00:00,53.4957275390625,8.087899344308036,304.8,53.877977274231995,7.887052648207719,396.24
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-16 00:21:35+00:00,2020-04-16 00:57:13+00:00,2020-04-16 00:00:00+00:00,-33.55946169061178,150.6607246398926,304.8,-33.57193769034694,150.6348609924316,487.68
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-16 02:18:47+00:00,2020-04-16 02:38:52+00:00,2020-04-16 00:00:00+00:00,-33.58309936523438,150.6431299326371,304.8,-33.5879982123941,150.6546020507812,426.72
JIA5092,OH5092,a77721,N580NN,CRJ9,KGRR,SC08,2020-04-16 10:24:48+00:00,2020-04-16 11:35:28+00:00,2020-04-16 00:00:00+00:00,42.86129709017479,-85.5141122000558,609.6,35.108322143554695,-81.0592589086416,1874.52
SKW5714,OO5714,acbfcf,N920SW,CRJ2,KDMA,KDEN,2020-04-16 14:29:14+00:00,2020-04-16 15:54:55+00:00,2020-04-16 00:00:00+00:00,32.163070678710945,-110.78162841796872,2438.4,39.82697567697299,-104.68768310546879,1836.42
ENY3691,,a263dc,N253NN,E75L,KDFW,,2020-04-16 17:40:56+00:00,2020-04-16 18:50:11+00:00,2020-04-16 00:00:00+00:00,32.893203735351555,-97.02993164062497,0.0,26.29971313476562,-100.2318472232458,10972.8
N4774D,,a5de03,N4774D,,KPOC,KCCB,2020-04-16 19:25:46+00:00,2020-04-16 20:24:27+00:00,2020-04-16 00:00:00+00:00,34.092544555664055,-117.8233804508131,304.8,34.14276123046875,-117.69378662109379,838.2
OAS,,7c46f2,VH-OAS,B06,YSRI,YSMB,2020-04-16 23:31:22+00:00,2020-04-17 00:04:58+00:00,2020-04-17 00:00:00+00:00,-33.596603393554695,150.8271509287309,0.0,-33.487747192382805,151.08107299804692,365.76
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-17 02:16:33+00:00,2020-04-17 03:03:48+00:00,2020-04-17 00:00:00+00:00,-33.597152709960945,150.81560407366067,304.8,-33.42233276367188,150.9691772460938,365.76
LNI964,,8a01cf,PK-LGO,B739,,,2020-04-17 02:41:55+00:00,2020-04-17 04:27:03+00:00,2020-04-17 00:00:00+00:00,-6.906396898172659,107.7609621245286,10972.8,3.0771029197563564,99.22846827013741,4335.780000000002
OAS,,7c46f2,VH-OAS,B06,,YSRI,2020-04-17 03:25:22+00:00,2020-04-17 03:44:57+00:00,2020-04-17 00:00:00+00:00,-33.424484252929695,150.9895568847656,304.8,-33.43884484242585,150.92171182437818,274.32
JAZ,,7c2da9,,,,YOAS,2020-04-17 04:45:35+00:00,2020-04-17 05:04:45+00:00,2020-04-17 00:00:00+00:00,-33.761498402740976,149.9227523803711,1524.0,-34.072860717773445,150.5561922034439,1028.7
JIA5092,OH5092,a7db0b,N605NN,,KGRR,KCLT,2020-04-17 10:11:14+00:00,2020-04-17 11:24:22+00:00,2020-04-17 00:00:00+00:00,42.856874627582094,-85.42903355189732,1524.0,35.26448395292638,-80.9709329808012,365.76
DEJFC,,3d1cf0,,,EDAQ,EDVK,2020-04-17 11:51:54+00:00,2020-04-17 12:43:54+00:00,2020-04-17 00:00:00+00:00,51.55384826660156,11.91652865023226,609.6,51.44123840332031,9.395240577491554,457.2
DAL3124,DL3124,a384f2,N326DN,A321,KPHX,KSLC,2020-04-17 13:02:48+00:00,2020-04-17 14:08:28+00:00,2020-04-17 00:00:00+00:00,33.431076049804695,-112.0177001953125,304.8,40.81343078613281,-112.09954833984379,3154.68
SKW5714,OO5714,a53756,N435SW,CRJ2,KTUS,CO12,2020-04-17 14:23:20+00:00,2020-04-17 15:41:50+00:00,2020-04-17 00:00:00+00:00,32.088638305664055,-110.88770141601559,1219.2,39.96359252929688,-104.6861572265625,1988.82
ENY3691,,a1fff2,N228NN,E75L,KDFW,,2020-04-17 17:45:03+00:00,2020-04-17 18:57:12+00:00,2020-04-17 00:00:00+00:00,32.90447170451536,-97.05451186822388,304.8,26.29666085970604,-100.2177605262169,10972.8
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-17 17:55:34+00:00,2020-04-17 18:50:18+00:00,2020-04-17 00:00:00+00:00,40.73016357421875,-73.412841796875,0.0,40.732044284626596,-73.412392356179,-15.24
OAS,,7c46f2,VH-OAS,B06,,YSRI,2020-04-17 23:20:39+00:00,2020-04-18 01:09:44+00:00,2020-04-18 00:00:00+00:00,-33.45428466796875,150.8782653808594,0.0,-33.54600809388245,150.82746505737302,213.36
JAZ,,7c2da9,,,YOAS,YSCN,2020-04-18 00:03:10+00:00,2020-04-18 00:21:20+00:00,2020-04-18 00:00:00+00:00,-34.07498117220604,150.6001281738281,609.6,-34.02572890459481,150.71903228759768,281.94
KXW,,7c35f2,,,YPJT,YMUL,2020-04-18 00:30:33+00:00,2020-04-18 00:50:29+00:00,2020-04-18 00:00:00+00:00,-32.103927612304695,115.87203369140629,0.0,-32.52064850370766,115.8264471560108,822.96
KXW,,7c35f2,,,YMUL,YPJT,2020-04-18 01:05:53+00:00,2020-04-18 01:24:46+00:00,2020-04-18 00:00:00+00:00,-32.4931640625,115.87796630859378,609.6,-32.08515231892216,115.8955040756537,190.5
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-18 01:47:48+00:00,2020-04-18 03:59:55+00:00,2020-04-18 00:00:00+00:00,-33.55490112304688,150.8521504304847,0.0,-33.58650854078394,150.8150482177734,274.32
BMX,,7c06d7,,,YOAS,,2020-04-18 04:31:23+00:00,2020-04-18 05:17:49+00:00,2020-04-18 00:00:00+00:00,-34.06695556640625,150.6046217315051,609.6,-33.879867553710945,148.9764030612245,1950.72
TRW,,7c62aa,VH-TRW,A109,YSCN,YOAS,2020-04-18 05:10:52+00:00,2020-04-18 06:18:05+00:00,2020-04-18 00:00:00+00:00,-34.05789650092692,150.6814384460449,304.8,-34.109024047851555,150.53623744419642,1097.28
BMX,,7c06d7,,,,YOAS,2020-04-18 05:46:26+00:00,2020-04-18 06:21:14+00:00,2020-04-18 00:00:00+00:00,-33.733749389648445,148.99204176299432,2133.6,-34.04974365234375,150.4840523856027,1036.32
GPP,,7c208b,,,YSCN,YOAS,2020-04-18 06:22:17+00:00,2020-04-18 06:45:22+00:00,2020-04-18 00:00:00+00:00,-34.01889038085938,150.6893173529177,304.8,-34.09423828125,150.53309849330358,1196.34
JIA5092,OH5092,a72213,N559NN,CRJ9,KGRR,KCLT,2020-04-18 10:23:24+00:00,2020-04-18 11:38:15+00:00,2020-04-18 00:00:00+00:00,42.87593078613281,-85.5458104333212,609.6,35.278496176509535,-80.97233549077457,586.74
DAL3124,DL3124,a384f2,N326DN,A321,KPHX,KSLC,2020-04-18 13:26:34+00:00,2020-04-18 14:33:52+00:00,2020-04-18 00:00:00+00:00,33.43107061871027,-112.0197965660874,304.8,40.817560745497886,-112.0999977805398,3246.12
SKW5714,OO5714,acdc5a,N928EV,CRJ2,,CO12,2020-04-18 14:21:51+00:00,2020-04-18 15:43:15+00:00,2020-04-18 00:00:00+00:00,32.04963296146716,-110.7195982641103,3048.0,39.95685642048464,-104.6953998912465,2011.68
N310TN,,a34887,N310TN,,CL36,KSTS,2020-04-18 16:50:12+00:00,2020-04-18 18:14:47+00:00,2020-04-18 00:00:00+00:00,38.588779255495226,-122.854248046875,914.4,38.43470764160156,-122.770127006199,426.72
ENY3691,,a243cb,N245NN,E75L,KDFW,,2020-04-18 17:36:31+00:00,2020-04-18 18:46:38+00:00,2020-04-18 00:00:00+00:00,32.883865356445305,-97.03004150390628,304.8,26.2972412109375,-100.22272649801,10972.8
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-19 00:10:53+00:00,2020-04-19 00:39:29+00:00,2020-04-19 00:00:00+00:00,-33.563003540039055,150.8488993742028,0.0,-33.55406163102489,150.8664321899414,182.88
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-19 01:44:10+00:00,2020-04-19 02:24:27+00:00,2020-04-19 00:00:00+00:00,-33.6031494140625,150.867845184949,0.0,-33.60177767478814,150.8304405212402,274.32
LNI964,,8a059a,PK-LPM,B738,,,2020-04-19 02:43:14+00:00,2020-04-19 04:29:18+00:00,2020-04-19 00:00:00+00:00,-7.144558146848509,108.2878323259025,10972.8,3.194183349609375,99.52286542472193,4930.14
GPP,,7c208b,,,YSCN,YOAS,2020-04-19 02:59:07+00:00,2020-04-19 05:45:31+00:00,2020-04-19 00:00:00+00:00,-34.02149265095341,150.6164360046387,609.6,-34.04452514648438,150.58315354950568,861.0600000000002
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-19 03:22:00+00:00,2020-04-19 04:37:21+00:00,2020-04-19 00:00:00+00:00,-33.61271745067535,150.8101272583008,304.8,-33.61965373411016,150.7182312011719,152.4
FDX94,FX94,ac3fc5,,,PANC,KOAK,2020-04-19 04:34:14+00:00,2020-04-19 08:32:57+00:00,2020-04-19 00:00:00+00:00,61.19792175292969,-150.01360212053567,0.0,37.70964024430614,-122.22654259723171,-60.96
DEJFC,,3d1cf0,,,EDVK,EDVK,2020-04-19 10:12:10+00:00,2020-04-19 12:03:48+00:00,2020-04-19 00:00:00+00:00,51.4632568359375,9.36725513355152,609.6,51.442131430415785,9.376296997070312,449.58
JIA5092,OH5092,a70f80,N554NN,CRJ9,KGRR,SC08,2020-04-19 10:13:25+00:00,2020-04-19 11:28:50+00:00,2020-04-19 00:00:00+00:00,42.87382507324219,-85.550537109375,914.4,35.08941650390625,-81.0571849589445,1897.38
OKRDS,,49d108,OK-HLC,R22,LOAS,LZTR,2020-04-19 11:28:32+00:00,2020-04-19 11:45:53+00:00,2020-04-19 00:00:00+00:00,48.17197638042902,17.00264378597862,0.0,48.51351928710938,17.58432241586538,403.86
DEJFC,,3d1cf0,,,EDVK,EDCK,2020-04-19 12:43:10+00:00,2020-04-19 13:38:52+00:00,2020-04-19 00:00:00+00:00,51.43276977539062,9.427011850717905,304.8,51.59898376464844,11.820992134712839,464.82000000000016
DAL3124,DL3124,a466d2,N383DZ,,KPHX,KBTF,2020-04-19 13:09:30+00:00,2020-04-19 14:22:59+00:00,2020-04-19 00:00:00+00:00,33.43107061871027,-112.0152002451371,304.8,40.90982728085275,-112.110859264027,2979.42
N350BT,,a3e4f8,N350BT,,KLDJ,6NJ8,2020-04-19 13:30:57+00:00,2020-04-19 13:41:19+00:00,2020-04-19 00:00:00+00:00,40.62318420410156,-74.3292236328125,304.8,40.66752288301112,-74.79373585094106,792.48
N350BT,,a3e4f8,N350BT,,NJ50,KLDJ,2020-04-19 14:20:15+00:00,2020-04-19 14:35:03+00:00,2020-04-19 00:00:00+00:00,40.46621704101562,-74.96826171875,914.4,40.6204833984375,-74.21307373046875,190.5
SKW5714,OO5714,ad8901,N971SW,CRJ2,,KDEN,2020-04-19 14:30:39+00:00,2020-04-19 15:58:25+00:00,2020-04-19 00:00:00+00:00,32.0408935546875,-110.72559814453122,3048.0,39.82402038574219,-104.69696044921879,1798.32
ENY3691,,a28f12,N264NN,,KDFW,,2020-04-19 17:54:30+00:00,2020-04-19 19:02:27+00:00,2020-04-19 00:00:00+00:00,32.8883646302304,-97.03035315688776,304.8,26.450934975834215,-100.1286550668569,9144.0
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-20 03:24:18+00:00,2020-04-20 05:04:38+00:00,2020-04-20 00:00:00+00:00,-33.566723839711344,150.65900802612302,304.8,-33.59243774414062,150.8097185407366,274.32
