Zmeny:
Hledani:
10 - 20: B=80.000000, D=2.000000, I=99.000000, J=11.000000, K=30.000000, L=100.000000, M=38.000000, P=40.000000, Q=70.000000, S=10.000000, T=151.000000
214 - 172: A=504.000000, B=546.000000, C=798.000000, D=42.000000, E=84.000000, F=378.000000, G=210.000000, H=279.000000, I=126.000000, J=84.000000, K=126.000000, L=546.000000, M=714.000000, N=210.000000, O=714.000000, P=630.000000, Q=84.000000, R=403.000000, S=420.000000, T=84.000000
1294 - 220: A=10298.000000, B=9583.000000, C=13625.000000, D=16355.000000, E=9572.000000, F=10938.000000, G=5733.000000, H=7545.000000, I=5894.000000, J=15824.000000, K=8038.000000, L=15270.000000, M=8007.000000, N=12921.000000, O=15068.000000, P=11686.000000, Q=10437.000000, R=10947.000000, S=11234.000000, T=8638.000000
1125 - 1403: A=3892.000000, B=3336.000000, C=3245.000000, D=5182.000000, E=2487.000000, F=3336.000000, G=2780.000000, H=4448.000000, I=1668.000000, J=5080.000000, K=3982.000000, L=5004.000000, M=673.000000, N=1932.000000, O=3336.000000, P=1946.000000, Q=3892.000000, R=2780.000000, S=3336.000000, T=1336.000000
221 - 354: A=584.000000, B=1729.000000, C=2527.000000, D=960.000000, E=482.000000, F=1197.000000, G=791.000000, H=479.000000, I=399.000000, J=266.000000, K=399.000000, L=1729.000000, M=2261.000000, N=665.000000, O=2261.000000, P=1995.000000, Q=798.000000, R=1261.000000, S=1330.000000, T=1735.000000
1193 - 295: A=8347.000000, B=7396.000000, C=11326.000000, D=14297.000000, E=8293.000000, F=9051.000000, G=4281.000000, H=5618.000000, I=5063.000000, J=13755.000000, K=6096.000000, L=12477.000000, M=6530.000000, N=12056.000000, O=12581.000000, P=9854.000000, Q=8573.000000, R=9443.000000, S=9272.000000, T=7385.000000
401 - 1: A=3289.000000, B=4235.000000, C=6432.000000, D=1918.000000, E=1872.000000, F=3093.000000, G=1866.000000, H=2084.000000, I=1567.000000, J=1664.000000, K=1185.000000, L=4704.000000, M=6687.000000, N=1160.000000, O=5987.000000, P=5648.000000, Q=1929.000000, R=2275.000000, S=3627.000000, T=3276.000000
211 - 1917: A=15757.000000, B=16936.000000, C=17435.000000, D=25917.000000, E=12102.000000, F=15481.000000, G=10244.000000, H=14278.000000, I=8255.000000, J=25080.000000, K=11889.000000, L=23181.000000, M=13478.000000, N=15150.000000, O=21554.000000, P=19373.000000, Q=17779.000000, R=16942.000000, S=13958.000000, T=16651.000000
1855 - 656: A=14283.000000, B=11459.000000, C=9282.000000, D=21106.000000, E=10408.000000, F=11326.000000, G=7645.000000, H=12146.000000, I=6920.000000, J=21360.000000, K=10554.000000, L=18086.000000, M=6583.000000, N=12154.000000, O=13989.000000, P=12613.000000, Q=14765.000000, R=10859.000000, S=9508.000000, T=13933.000000
1125 - 733: A=5488.000000, B=1618.000000, C=2984.000000, D=7056.000000, E=5537.000000, F=4374.000000, G=1598.000000, H=3088.000000, I=2963.000000, J=7448.000000, K=3626.000000, L=6444.000000, M=784.000000, N=7056.000000, O=4704.000000, P=2808.000000, Q=4993.000000, R=2720.000000, S=4076.000000, T=5194.000000
485 - 390: A=95.000000, B=1235.000000, C=1805.000000, D=772.000000, E=364.000000, F=998.000000, G=570.000000, H=285.000000, I=285.000000, J=321.000000, K=285.000000, L=895.000000, M=1615.000000, N=475.000000, O=1615.000000, P=1425.000000, Q=570.000000, R=1447.000000, S=950.000000, T=235.000000
381 - 1724: A=14882.000000, B=13391.000000, C=13920.000000, D=23132.000000, E=11300.000000, F=13489.000000, G=8662.000000, H=12236.000000, I=7745.000000, J=22828.000000, K=10857.000000, L=20917.000000, M=9136.000000, N=13721.000000, O=17851.000000, P=14511.000000, Q=15164.000000, R=13635.000000, S=12258.000000, T=12284.000000
719 - 219: A=2260.000000, B=5852.000000, C=9072.000000, D=5937.000000, E=1930.000000, F=4461.000000, G=2436.000000, H=1706.000000, I=1794.000000, J=4901.000000, K=1500.000000, L=5797.000000, M=6874.000000, N=3904.000000, O=8185.000000, P=7500.000000, Q=3000.000000, R=6509.000000, S=5000.000000, T=2748.000000
1464 - 1708: A=2684.000000, B=3621.000000, C=974.000000, D=4636.000000, E=1512.000000, F=1900.000000, G=2139.000000, H=2444.000000, I=1314.000000, J=4148.000000, K=1744.000000, L=4392.000000, M=2684.000000, N=830.000000, O=3240.000000, P=3778.000000, Q=3121.000000, R=2440.000000, S=594.000000, T=3904.000000
1109 - 890: A=3066.000000, B=879.000000, C=1533.000000, D=3942.000000, E=3151.000000, F=2628.000000, G=1281.000000, H=2204.000000, I=1454.000000, J=4161.000000, K=2883.000000, L=3942.000000, M=438.000000, N=3942.000000, O=2628.000000, P=1533.000000, Q=3222.000000, R=2190.000000, S=2314.000000, T=3285.000000
419 - 862: A=3589.000000, B=3869.000000, C=6653.000000, D=6531.000000, E=2982.000000, F=3989.000000, G=1388.000000, H=1586.000000, I=2481.000000, J=7218.000000, K=1329.000000, L=4917.000000, M=3760.000000, N=5478.000000, O=6501.000000, P=5677.000000, Q=2955.000000, R=4689.000000, S=4430.000000, T=1563.000000
1208 - 9: A=11740.000000, B=10377.000000, C=15861.000000, D=14943.000000, E=9976.000000, F=11370.000000, G=5661.000000, H=7624.000000, I=6374.000000, J=15492.000000, K=7209.000000, L=16073.000000, M=11445.000000, N=12956.000000, O=16946.000000, P=13985.000000, Q=10055.000000, R=10490.000000, S=12018.000000, T=9145.000000
34 - 277: A=3075.000000, B=2367.000000, C=3977.000000, D=267.000000, E=1322.000000, F=1851.000000, G=1116.000000, H=1658.000000, I=984.000000, J=1251.000000, K=729.000000, L=2842.000000, M=4275.000000, N=540.000000, O=3855.000000, P=3645.000000, Q=1055.000000, R=663.000000, S=2361.000000, T=1097.000000
1933 - 1692: A=496.000000, B=1815.000000, C=381.000000, D=1991.000000, E=448.000000, F=654.000000, G=681.000000, H=1776.000000, J=2456.000000, K=810.000000, L=630.000000, M=1804.000000, N=723.000000, O=1293.000000, P=2856.000000, Q=1995.000000, R=2015.000000, T=2719.000000
468 - 253: A=314.000000, B=2795.000000, C=4085.000000, D=2191.000000, E=844.000000, F=1993.000000, G=1290.000000, H=658.000000, I=645.000000, J=526.000000, K=645.000000, L=2540.000000, M=3655.000000, N=1075.000000, O=3655.000000, P=3225.000000, Q=1290.000000, R=2887.000000, S=2150.000000, T=2273.000000
1304 - 375: A=9821.000000, B=7688.000000, C=10760.000000, D=15248.000000, E=9044.000000, F=9663.000000, G=4911.000000, H=7154.000000, I=5489.000000, J=15700.000000, K=7743.000000, L=13435.000000, M=5392.000000, N=12166.000000, O=12553.000000, P=9431.000000, Q=9647.000000, R=9513.000000, S=9804.000000, T=6616.000000
695 - 972: A=3878.000000, B=895.000000, C=2559.000000, D=4986.000000, E=3404.000000, F=2766.000000, G=277.000000, H=1242.000000, I=2387.000000, J=5263.000000, K=1139.000000, L=3989.000000, M=554.000000, N=4986.000000, O=3324.000000, P=2307.000000, Q=3079.000000, R=1266.000000, S=2770.000000, T=2937.000000
221 - 50: A=2280.000000, B=1511.000000, C=2769.000000, D=171.000000, E=1020.000000, F=1203.000000, G=771.000000, H=1122.000000, I=800.000000, J=963.000000, K=513.000000, L=1954.000000, M=3019.000000, N=260.000000, O=2711.000000, P=2565.000000, Q=703.000000, R=403.000000, S=1767.000000, T=342.000000
1640 - 1944: A=1068.000000, B=2595.000000, C=537.000000, D=2979.000000, E=864.000000, F=966.000000, G=1012.000000, H=2220.000000, I=258.000000, J=3340.000000, K=1278.000000, L=1566.000000, M=2376.000000, N=912.000000, O=2073.000000, P=3740.000000, Q=2619.000000, R=2535.000000, T=3551.000000
1218 - 1794: A=6415.000000, B=7876.000000, C=4231.000000, D=10685.000000, E=3168.000000, F=5332.000000, G=4857.000000, H=6896.000000, I=2790.000000, J=10036.000000, K=5116.000000, L=9162.000000, M=4788.000000, N=1967.000000, O=7245.000000, P=6962.000000, Q=7459.000000, R=6194.000000, S=3546.000000, T=7242.000000
142 - 57: A=1190.000000, B=434.000000, C=1205.000000, D=85.000000, E=680.000000, F=429.000000, G=369.000000, H=510.000000, I=556.000000, J=728.000000, K=255.000000, L=857.000000, M=1543.000000, O=1284.000000, P=1275.000000, Q=514.000000, S=886.000000, T=170.000000
297 - 53: A=2753.000000, B=2475.000000, C=4186.000000, D=348.000000, E=1250.000000, F=1860.000000, G=1217.000000, H=1376.000000, I=1025.000000, J=1082.000000, K=732.000000, L=2912.000000, M=4254.000000, N=640.000000, O=3967.000000, P=3660.000000, Q=1156.000000, R=923.000000, S=2488.000000, T=1216.000000
1848 - 127: A=16811.000000, B=18028.000000, C=19031.000000, D=25966.000000, E=12486.000000, F=16237.000000, G=10457.000000, H=14152.000000, I=8542.000000, J=25248.000000, K=12141.000000, L=24233.000000, M=14818.000000, N=15153.000000, O=22982.000000, P=20429.000000, Q=17524.000000, R=17345.000000, S=14798.000000, T=16683.000000
1037 - 1054: A=238.000000, B=72.000000, C=119.000000, D=306.000000, E=255.000000, F=204.000000, G=170.000000, H=272.000000, I=102.000000, J=323.000000, K=289.000000, L=306.000000, M=34.000000, N=306.000000, O=204.000000, P=119.000000, Q=238.000000, R=170.000000, S=184.000000, T=255.000000
787 - 1639: A=11370.000000, B=7894.000000, C=6815.000000, D=15750.000000, E=8627.000000, F=9568.000000, G=6684.000000, H=10326.000000, I=5561.000000, J=15514.000000, K=8874.000000, L=15336.000000, M=3945.000000, N=9148.000000, O=10329.000000, P=7344.000000, Q=11708.000000, R=7752.000000, S=8198.000000, T=10182.000000
635 - 1795: A=14577.000000, B=11392.000000, C=9567.000000, D=21184.000000, E=10492.000000, F=11416.000000, G=7486.000000, H=11870.000000, I=6983.000000, J=21132.000000, K=10617.000000, L=18359.000000, M=5965.000000, N=12352.000000, O=14346.000000, P=11908.000000, Q=14351.000000, R=10672.000000, S=9718.000000, T=12934.000000
1280 - 347: A=9513.000000, B=7764.000000, C=11100.000000, D=15240.000000, E=9060.000000, F=9627.000000, G=4839.000000, H=6854.000000, I=5429.000000, J=15304.000000, K=7419.000000, L=13367.000000, M=5820.000000, N=12258.000000, O=12741.000000, P=9683.000000, Q=9479.000000, R=9637.000000, S=9796.000000, T=6953.000000
788 - 195: A=3514.000000, B=6647.000000, C=10391.000000, D=7203.000000, E=2650.000000, F=5091.000000, G=2625.000000, H=2168.000000, I=2487.000000, J=6260.000000, K=1779.000000, L=6487.000000, M=7420.000000, N=5266.000000, O=9421.000000, P=8519.000000, Q=3478.000000, R=6777.000000, S=5930.000000, T=2949.000000
214 - 1032: A=6702.000000, B=6704.000000, C=11738.000000, D=11576.000000, E=6138.000000, F=7848.000000, G=3143.000000, H=3407.000000, I=4340.000000, J=10858.000000, K=3602.000000, L=10632.000000, M=7585.000000, N=9563.000000, O=12026.000000, P=9942.000000, Q=6801.000000, R=8327.000000, S=8180.000000, T=6571.000000
111 - 1035: A=8058.000000, B=7969.000000, C=13716.000000, D=11733.000000, E=6701.000000, F=8683.000000, G=3688.000000, H=4100.000000, I=4782.000000, J=11193.000000, K=3962.000000, L=11939.000000, M=9342.000000, N=9842.000000, O=13813.000000, P=11508.000000, Q=7049.000000, R=8760.000000, S=9240.000000, T=6822.000000
1828 - 1636: A=1112.000000, B=2655.000000, C=549.000000, D=2920.000000, E=896.000000, F=990.000000, G=779.000000, H=1152.000000, I=282.000000, J=3408.000000, K=1314.000000, L=1638.000000, M=2112.000000, N=576.000000, O=2133.000000, P=3264.000000, Q=2064.000000, R=2575.000000, T=3139.000000
1508 - 875: A=8697.000000, B=5775.000000, C=5652.000000, D=11677.000000, E=6523.000000, F=7472.000000, G=5286.000000, H=8648.000000, I=3983.000000, J=11615.000000, K=7707.000000, L=11394.000000, M=2328.000000, N=7171.000000, O=7548.000000, P=4501.000000, Q=9063.000000, R=6266.000000, S=7318.000000, T=6766.000000
1642 - 1983: A=1046.000000, B=2565.000000, C=531.000000, D=2941.000000, E=848.000000, F=954.000000, G=992.000000, H=2508.000000, I=246.000000, J=3306.000000, K=1260.000000, L=1530.000000, M=2354.000000, N=960.000000, O=2043.000000, P=3706.000000, Q=2595.000000, R=2515.000000, T=3519.000000
1446 - 1957: A=3223.000000, B=5412.000000, C=1397.000000, D=6665.000000, E=1904.000000, F=2638.000000, G=2952.000000, H=4700.000000, I=1422.000000, J=6638.000000, K=2500.000000, L=5058.000000, M=4510.000000, N=1775.000000, O=4509.000000, P=6488.000000, Q=5176.000000, R=4475.000000, S=810.000000, T=6655.000000
440 - 377: A=63.000000, B=819.000000, C=1197.000000, D=755.000000, E=236.000000, F=499.000000, G=378.000000, H=189.000000, I=189.000000, J=138.000000, K=189.000000, L=704.000000, M=1071.000000, N=315.000000, O=1071.000000, P=945.000000, Q=378.000000, R=851.000000, S=630.000000, T=385.000000
1969 - 1365: A=4357.000000, B=6384.000000, C=2466.000000, D=8204.000000, E=2228.000000, F=3610.000000, G=3762.000000, H=6140.000000, I=1908.000000, J=8015.000000, K=2905.000000, L=6516.000000, M=5176.000000, N=2177.000000, O=5481.000000, P=7055.000000, Q=6310.000000, R=5285.000000, S=1782.000000, T=7782.000000
950 - 1925: A=10167.000000, B=10275.000000, C=6214.000000, D=15814.000000, E=7134.000000, F=8590.000000, G=7543.000000, H=11582.000000, I=4404.000000, J=15774.000000, K=9672.000000, L=13986.000000, M=6006.000000, N=7072.000000, O=10461.000000, P=9960.000000, Q=12120.000000, R=9435.000000, S=6568.000000, T=11304.000000
724 - 1159: A=6090.000000, B=2089.000000, C=3375.000000, D=7830.000000, E=6083.000000, F=4836.000000, G=1947.000000, H=3668.000000, I=3248.000000, J=8265.000000, K=4231.000000, L=7056.000000, M=870.000000, N=7830.000000, O=5220.000000, P=3181.000000, Q=5523.000000, R=3078.000000, S=4574.000000, T=5350.000000
582 - 1244: A=8774.000000, B=4283.000000, C=6468.000000, D=11935.000000, E=7926.000000, F=6708.000000, G=3069.000000, H=5573.000000, I=4508.000000, J=12578.000000, K=6102.000000, L=10354.000000, M=1753.000000, N=11011.000000, O=8314.000000, P=5906.000000, Q=7565.000000, R=5622.000000, S=7014.000000, T=5832.000000
704 - 325: A=1471.000000, B=4369.000000, C=6803.000000, D=5169.000000, E=1500.000000, F=3417.000000, G=1794.000000, H=1236.000000, I=1341.000000, J=4404.000000, K=1137.000000, L=4237.000000, M=5042.000000, N=3104.000000, O=6203.000000, P=5685.000000, Q=2274.000000, R=5595.000000, S=3790.000000, T=1429.000000
1799 - 933: A=10405.000000, B=10100.000000, C=6273.000000, D=15840.000000, E=7355.000000, F=8782.000000, G=7200.000000, H=10646.000000, I=4540.000000, J=15546.000000, K=9723.000000, L=14292.000000, M=5413.000000, N=7000.000000, O=10665.000000, P=9042.000000, Q=11521.000000, R=9129.000000, S=6738.000000, T=10590.000000
1491 - 304: A=12396.000000, B=10897.000000, C=14496.000000, D=19882.000000, E=10076.000000, F=12456.000000, G=7207.000000, H=10359.000000, I=6824.000000, J=19021.000000, K=9335.000000, L=17724.000000, M=7882.000000, N=13408.000000, O=16004.000000, P=11805.000000, Q=12691.000000, R=12306.000000, S=12848.000000, T=9711.000000
1020 - 947: A=1022.000000, B=73.000000, C=511.000000, D=1314.000000, E=1035.000000, F=876.000000, G=334.000000, H=468.000000, I=450.000000, J=1387.000000, K=1199.000000, L=1314.000000, M=146.000000, N=1314.000000, O=876.000000, P=511.000000, Q=1022.000000, R=730.000000, S=730.000000, T=1095.000000
302 - 610: A=308.000000, B=3880.000000, C=5642.000000, D=3768.000000, E=1216.000000, F=3060.000000, G=1838.000000, H=929.000000, I=924.000000, J=2664.000000, K=924.000000, L=3314.000000, M=5117.000000, N=1540.000000, O=5236.000000, P=4620.000000, Q=1848.000000, R=4716.000000, S=3080.000000, T=1680.000000
1004 - 1935: A=9411.000000, B=10221.000000, C=5836.000000, D=14842.000000, E=6378.000000, F=7942.000000, G=7372.000000, H=11378.000000, I=4074.000000, J=14748.000000, K=8754.000000, L=13014.000000, M=5898.000000, N=6130.000000, O=9813.000000, P=9582.000000, Q=11364.000000, R=8895.000000, S=6028.000000, T=10494.000000
621 - 770: A=2086.000000, B=1151.000000, C=2403.000000, D=2682.000000, E=794.000000, F=894.000000, G=149.000000, H=596.000000, I=1047.000000, J=2831.000000, K=447.000000, L=1315.000000, M=338.000000, N=2682.000000, O=1963.000000, P=2003.000000, Q=894.000000, R=1123.000000, S=1490.000000, T=149.000000
1627 - 1528: A=1089.000000, B=1485.000000, C=411.000000, D=1881.000000, E=608.000000, F=774.000000, G=990.000000, H=934.000000, I=594.000000, J=1683.000000, K=695.000000, L=1782.000000, M=1089.000000, N=297.000000, O=1485.000000, P=1683.000000, Q=1253.000000, R=990.000000, T=1584.000000
1640 - 1703: A=693.000000, B=945.000000, C=189.000000, D=1197.000000, E=504.000000, F=378.000000, G=364.000000, H=378.000000, I=258.000000, J=1071.000000, K=567.000000, L=1134.000000, M=693.000000, N=189.000000, O=945.000000, P=1071.000000, Q=756.000000, R=630.000000, T=1008.000000
1689 - 329: A=14549.000000, B=13542.000000, C=14803.000000, D=23299.000000, E=11228.000000, F=13747.000000, G=8869.000000, H=12182.000000, I=7901.000000, J=22337.000000, K=10698.000000, L=20963.000000, M=9635.000000, N=13876.000000, O=18210.000000, P=14696.000000, Q=15056.000000, R=13961.000000, S=12778.000000, T=12504.000000
1989 - 16: A=18295.000000, B=18589.000000, C=20257.000000, D=26113.000000, E=13294.000000, F=16864.000000, G=10993.000000, H=16276.000000, I=9169.000000, J=26364.000000, K=12474.000000, L=25345.000000, M=16935.000000, N=15495.000000, O=24311.000000, P=22111.000000, Q=18514.000000, R=17345.000000, S=15677.000000, T=17385.000000
970 - 442: A=5078.000000, B=3678.000000, C=6972.000000, D=8360.000000, E=4390.000000, F=5124.000000, G=1358.000000, H=2079.000000, I=3284.000000, J=9206.000000, K=1864.000000, L=6677.000000, M=3585.000000, N=7307.000000, O=7406.000000, P=6088.000000, Q=4569.000000, R=5262.000000, S=5280.000000, T=3160.000000
209 - 323: A=697.000000, B=1482.000000, C=2166.000000, D=476.000000, E=382.000000, F=1026.000000, G=665.000000, H=494.000000, I=342.000000, J=228.000000, K=342.000000, L=1482.000000, M=1938.000000, N=570.000000, O=1938.000000, P=1710.000000, Q=660.000000, R=858.000000, S=1140.000000, T=1294.000000
86 - 1913: A=17385.000000, B=18209.000000, C=19690.000000, D=26042.000000, E=12814.000000, F=16278.000000, G=10857.000000, H=14998.000000, I=8870.000000, J=25627.000000, K=12264.000000, L=24645.000000, M=15643.000000, N=15348.000000, O=23639.000000, P=21248.000000, Q=18213.000000, R=17345.000000, S=15208.000000, T=16901.000000
991 - 132: A=7148.000000, B=7729.000000, C=13009.000000, D=10920.000000, E=5873.000000, F=8094.000000, G=3143.000000, H=3530.000000, I=4350.000000, J=10243.000000, K=3151.000000, L=10945.000000, M=8897.000000, N=9050.000000, O=12928.000000, P=10885.000000, Q=6391.000000, R=8320.000000, S=8590.000000, T=6120.000000
769 - 1434: A=9310.000000, B=5074.000000, C=6024.000000, D=12179.000000, E=7817.000000, F=7866.000000, G=4652.000000, H=7888.000000, I=4493.000000, J=12371.000000, K=7655.000000, L=11970.000000, M=1726.000000, N=8519.000000, O=7980.000000, P=4655.000000, Q=9103.000000, R=5738.000000, S=7424.000000, T=6990.000000
1616 - 1672: A=616.000000, B=840.000000, C=168.000000, D=1064.000000, E=448.000000, F=336.000000, G=511.000000, H=336.000000, I=327.000000, J=952.000000, K=504.000000, L=1008.000000, M=616.000000, N=168.000000, O=840.000000, P=952.000000, Q=672.000000, R=560.000000, T=896.000000
573 - 860: A=3407.000000, B=1865.000000, C=3849.000000, D=5166.000000, E=2336.000000, F=2154.000000, G=462.000000, H=1116.000000, I=2001.000000, J=5453.000000, K=861.000000, L=3559.000000, M=1138.000000, N=4672.000000, O=3859.000000, P=3353.000000, Q=1997.000000, R=2119.000000, S=2870.000000, T=1379.000000
100 - 1931: A=17189.000000, B=18181.000000, C=19544.000000, D=26028.000000, E=12702.000000, F=16264.000000, G=10805.000000, H=15130.000000, I=8758.000000, J=25473.000000, K=12222.000000, L=24505.000000, M=15377.000000, N=15402.000000, O=23441.000000, P=21038.000000, Q=18073.000000, R=17345.000000, S=15068.000000, T=16873.000000
1070 - 1583: A=6792.000000, B=6474.000000, C=4662.000000, D=9592.000000, E=4068.000000, F=5842.000000, G=5130.000000, H=7998.000000, I=3078.000000, J=9185.000000, K=5841.000000, L=9234.000000, M=2763.000000, N=3886.000000, O=6093.000000, P=4411.000000, Q=7137.000000, R=5130.000000, S=5322.000000, T=5041.000000
1791 - 79: A=17483.000000, B=17903.000000, C=19669.000000, D=25729.000000, E=12870.000000, F=16273.000000, G=10526.000000, H=14098.000000, I=8926.000000, J=25001.000000, K=12285.000000, L=24715.000000, M=15061.000000, N=14982.000000, O=23730.000000, P=20180.000000, Q=17347.000000, R=16733.000000, S=15278.000000, T=15810.000000
1742 - 1683: A=595.000000, B=885.000000, C=177.000000, D=1121.000000, E=472.000000, F=354.000000, G=177.000000, H=354.000000, I=20.000000, J=1003.000000, K=531.000000, L=792.000000, M=649.000000, N=177.000000, O=882.000000, P=1003.000000, Q=708.000000, R=660.000000, T=944.000000
1583 - 455: A=13257.000000, B=10314.000000, C=12087.000000, D=19687.000000, E=9892.000000, F=11984.000000, G=7221.000000, H=11168.000000, I=6923.000000, J=20226.000000, K=9366.000000, L=17607.000000, M=6327.000000, N=12928.000000, O=14478.000000, P=11004.000000, Q=13028.000000, R=11171.000000, S=11518.000000, T=9688.000000
1043 - 1138: A=1330.000000, B=1074.000000, C=665.000000, D=1710.000000, E=1425.000000, F=1140.000000, G=950.000000, H=1520.000000, I=570.000000, J=1805.000000, K=1615.000000, L=1710.000000, M=190.000000, N=1710.000000, O=1140.000000, P=665.000000, Q=1330.000000, R=950.000000, S=1132.000000, T=1293.000000
1149 - 1363: A=2996.000000, B=2568.000000, C=2317.000000, D=3990.000000, E=1967.000000, F=2568.000000, G=2140.000000, H=3424.000000, I=1284.000000, J=3944.000000, K=3374.000000, L=3852.000000, M=428.000000, N=1420.000000, O=2568.000000, P=1498.000000, Q=2996.000000, R=2140.000000, S=2568.000000, T=784.000000
558 - 1089: A=6628.000000, B=2729.000000, C=5707.000000, D=9558.000000, E=5697.000000, F=4992.000000, G=1663.000000, H=3165.000000, I=3650.000000, J=10089.000000, K=3539.000000, L=7876.000000, M=1851.000000, N=8869.000000, O=6862.000000, P=5181.000000, Q=5539.000000, R=4480.000000, S=5394.000000, T=4829.000000
786 - 956: A=2380.000000, B=242.000000, C=1190.000000, D=3060.000000, E=2458.000000, F=2028.000000, G=170.000000, H=782.000000, I=1472.000000, J=3230.000000, K=594.000000, L=3060.000000, M=340.000000, N=3060.000000, O=2040.000000, P=1190.000000, Q=2309.000000, R=924.000000, S=1700.000000, T=2550.000000
1269 - 1986: A=5701.000000, B=7536.000000, C=3847.000000, D=10028.000000, E=2612.000000, F=4762.000000, G=4722.000000, H=7676.000000, I=2484.000000, J=9713.000000, K=4249.000000, L=8244.000000, M=5368.000000, N=2369.000000, O=6633.000000, P=7727.000000, Q=7654.000000, R=6245.000000, S=2934.000000, T=8092.000000
220 - 1202: A=9010.000000, B=8479.000000, C=12814.000000, D=14630.000000, E=8676.000000, F=9834.000000, G=4813.000000, H=6073.000000, I=5342.000000, J=14076.000000, K=6474.000000, L=13614.000000, M=7823.000000, N=12593.000000, O=13964.000000, P=11042.000000, Q=9149.000000, R=10027.000000, S=10130.000000, T=8273.000000
612 - 1374: A=10564.000000, B=5579.000000, C=7735.000000, D=13865.000000, E=8392.000000, F=8088.000000, G=4209.000000, H=7556.000000, I=5198.000000, J=14334.000000, K=7826.000000, L=12304.000000, M=1636.000000, N=11108.000000, O=9364.000000, P=6366.000000, Q=9205.000000, R=6412.000000, S=8274.000000, T=6239.000000
1810 - 1363: A=4385.000000, B=6392.000000, C=2477.000000, D=8017.000000, E=2236.000000, F=3634.000000, G=3455.000000, H=4672.000000, I=1920.000000, J=7707.000000, K=2915.000000, L=6552.000000, M=4674.000000, N=1725.000000, O=5505.000000, P=6219.000000, Q=5573.000000, R=5016.000000, S=1806.000000, T=7006.000000
1503 - 449: A=12383.000000, B=9192.000000, C=11801.000000, D=18197.000000, E=9560.000000, F=11308.000000, G=6457.000000, H=10116.000000, I=6461.000000, J=18896.000000, K=8960.000000, L=16215.000000, M=5549.000000, N=12718.000000, O=13683.000000, P=9734.000000, Q=11989.000000, R=10473.000000, S=11578.000000, T=8414.000000
1540 - 1695: A=1705.000000, B=2325.000000, C=555.000000, D=2945.000000, E=1104.000000, F=1062.000000, G=1340.000000, H=1150.000000, I=858.000000, J=2635.000000, K=1247.000000, L=2790.000000, M=1705.000000, N=465.000000, O=2325.000000, P=2635.000000, Q=1901.000000, R=1550.000000, T=2480.000000
11 - 311: A=3199.000000, B=2993.000000, C=4722.000000, D=478.000000, E=1522.000000, F=2283.000000, G=1326.000000, H=1814.000000, I=1261.000000, J=1484.000000, K=900.000000, L=3514.000000, M=5157.000000, N=710.000000, O=4457.000000, P=4258.000000, Q=1354.000000, R=1105.000000, S=2724.000000, T=1924.000000
1142 - 154: A=8962.000000, B=8617.000000, C=13648.000000, D=13616.000000, E=7962.000000, F=9708.000000, G=4543.000000, H=5554.000000, I=5180.000000, J=13068.000000, K=5652.000000, L=13392.000000, M=8825.000000, N=11768.000000, O=14366.000000, P=11612.000000, Q=8461.000000, R=9830.000000, S=10070.000000, T=8165.000000
1310 - 1334: A=336.000000, B=288.000000, C=456.000000, D=456.000000, E=96.000000, F=288.000000, G=240.000000, H=384.000000, I=144.000000, J=408.000000, K=408.000000, L=432.000000, M=48.000000, N=48.000000, O=288.000000, P=168.000000, Q=336.000000, R=240.000000, S=288.000000, T=72.000000
1007 - 1618: A=8059.000000, B=7293.000000, C=5212.000000, D=11391.000000, E=5293.000000, F=6808.000000, G=6110.000000, H=9116.000000, I=3666.000000, J=10977.000000, K=7227.000000, L=10998.000000, M=3274.000000, N=5125.000000, O=7374.000000, P=5447.000000, Q=8439.000000, R=6110.000000, S=5998.000000, T=6546.000000
1059 - 1051: A=112.000000, B=96.000000, C=56.000000, D=144.000000, E=120.000000, F=96.000000, G=80.000000, H=128.000000, I=48.000000, J=152.000000, K=136.000000, L=144.000000, M=16.000000, N=144.000000, O=96.000000, P=56.000000, Q=112.000000, R=80.000000, S=96.000000, T=120.000000
1836 - 850: A=11567.000000, B=10375.000000, C=6914.000000, D=17519.000000, E=8554.000000, F=9790.000000, G=7394.000000, H=11256.000000, I=5258.000000, J=17674.000000, K=9972.000000, L=15786.000000, M=5986.000000, N=8605.000000, O=11661.000000, P=10252.000000, Q=13265.000000, R=10171.000000, S=7568.000000, T=12464.000000
1394 - 1065: A=4606.000000, B=3948.000000, C=3494.000000, D=6091.000000, E=3351.000000, F=3948.000000, G=3290.000000, H=5264.000000, I=1974.000000, J=6067.000000, K=4957.000000, L=5922.000000, M=694.000000, N=2994.000000, O=3948.000000, P=2303.000000, Q=4606.000000, R=3290.000000, S=3948.000000, T=2092.000000
1658 - 1478: A=1980.000000, B=2700.000000, C=754.000000, D=3420.000000, E=1056.000000, F=1460.000000, G=1800.000000, H=1920.000000, I=1080.000000, J=3060.000000, K=1224.000000, L=3240.000000, M=1980.000000, N=526.000000, O=2322.000000, P=2830.000000, Q=2325.000000, R=1800.000000, S=414.000000, T=2880.000000
1568 - 1887: A=1860.000000, B=3675.000000, C=787.000000, D=4347.000000, E=1416.000000, F=1418.000000, G=1636.000000, H=1968.000000, I=690.000000, J=4564.000000, K=1890.000000, L=2862.000000, M=3168.000000, N=957.000000, O=3153.000000, P=4964.000000, Q=3411.000000, R=3255.000000, T=4703.000000
