[105089-108316: A=218.14],
[164739-179617: A=173.43],
[127702-130947: A=44.00],
[193162-254660: A=80.85],
[142357-167439: A=158.53],
[146123-163986: A=185.84],
[114078-122209: A=83.16],
[174527-201177: A=87.67],
[100262-100403: A=200.79],
[164855-180661: A=114.27],
[164198-198881: A=159.72],
[147521-156206: A=187.93],
[196284-232372: A=52.74],
[105467-108067: A=153.09],
[167649-172073: A=233.70],
[114620-122067: A=110.38],
[140616-164730: A=3.12],
[187296-206321: A=165.51],
[158278-188159: A=214.35],
[163175-211709: A=233.93],
[100934-101759: A=25.36],
[100298-100536: A=239.66],
[127239-134063: A=149.08],
[106000-106444: A=239.17],
[188892-207596: A=144.96],
[121442-130529: A=235.44],
[174507-213726: A=215.67],
[198630-280966: A=194.39],
[158398-198573: A=1.52],
[198309-255284: A=75.25],
[174143-222662: A=79.94],
[195305-228480: A=72.75],
[135528-169767: A=32.60],
[144383-166832: A=110.66],
[177251-224737: A=241.78],
[154040-181159: A=228.03],
[146975-181479: A=161.96],
[160622-191970: A=23.14],
[197930-261928: A=152.14],
[195834-289283: A=62.35],
[187066-248167: A=8.05],
[139018-146261: A=233.36],
[181576-258217: A=189.59],
[170716-193324: A=207.21],
[155207-160462: A=20.87],
[168361-186501: A=114.30],
[193955-274448: A=55.43],
[187328-216860: A=170.32],
[152863-163514: A=86.40],
[159058-202856: A=156.86],
[158985-200454: A=136.55],
[160698-206802: A=107.56],
[174357-183240: A=170.08],
[167623-209631: A=233.51],
[182531-213969: A=178.55],
[155869-180137: A=2.72],
[172813-243048: A=104.92],
[141328-149309: A=206.91],
[120293-134339: A=245.09],
[116215-122099: A=34.20],
[124788-136612: A=140.15],
[110380-117213: A=237.33],
[123891-126363: A=24.74],
[150709-189083: A=41.62],
[184611-264720: A=110.50],
[167010-201124: A=213.70],
[103784-105232: A=125.64],
[195913-251726: A=131.36],
[106149-108851: A=88.62],
[169493-235656: A=134.15],
[194246-208412: A=177.93],
[160775-177168: A=150.02],
[188627-237419: A=48.69],
[178227-228008: A=26.02],
[181378-202154: A=210.79],
[189056-194031: A=90.50],
[101693-102009: A=98.22],
[166588-217838: A=86.93],
[107514-109426: A=112.59],
[170122-211257: A=40.09],
[192293-281387: A=243.22],
[182726-255948: A=34.80],
[150493-196316: A=195.98],
[187970-261789: A=138.99],
[138604-148028: A=243.40],
[133199-165665: A=145.03],
[187167-256356: A=164.01],
[108358-112925: A=104.21],
[135033-155486: A=145.56],
[175883-249813: A=170.34],
[185796-270420: A=217.08],
[103560-106433: A=9.12],
[131074-146709: A=202.24],
[173890-210706: A=117.49],
[150135-160303: A=131.76],
[180998-183328: A=5.76],
[152457-154997: A=123.88],
[118017-130334: A=25.26],
[126019-146823: A=211.50],
[114986-116689: A=195.40],
[198399-259930: A=234.18],
[104259-105182: A=90.12],
[155547-210842: A=181.16],
[188275-192543: A=235.98],
[110033-110849: A=133.66],
[153237-163663: A=174.64],
[133014-143442: A=65.91],
[168711-176063: A=21.60],
[191748-233249: A=42.76],
[170753-227493: A=172.69],
[171154-179724: A=170.75],
[165789-188685: A=208.79],
[196242-251089: A=118.22],
[182013-210669: A=193.89],
[197132-225639: A=219.38],
[158811-197883: A=19.79],
[167304-201404: A=30.57],
[198617-292386: A=29.36],
[190838-277189: A=61.82],
[142152-163394: A=27.75],
[185210-186135: A=169.73],
[197745-211996: A=57.35],
[160722-213695: A=118.31],
[118517-132493: A=229.79],
[145066-180622: A=138.17],
[173985-227015: A=127.87],
[138945-141123: A=69.66],
[119489-132059: A=158.93],
[125760-144781: A=7.12],
[181964-232152: A=80.47],
[177953-190204: A=214.57],
[101900-103399: A=58.00],
[103688-106212: A=186.33],
[198839-273907: A=49.53],
[156131-203084: A=100.53],
[127800-127822: A=66.30],
[122694-127271: A=234.97],
[140248-160614: A=177.12],
[186137-199501: A=170.62],
[166413-181794: A=142.83],
[132727-147089: A=93.71],
[145941-173328: A=108.89],
[191970-194510: A=41.82],
[194969-273360: A=14.20],
[171463-173753: A=91.15],
[126615-148341: A=190.20],
[118144-133437: A=248.85],
[160379-198265: A=21.53],
[199085-233890: A=196.94],
[117815-134458: A=122.30],
[142151-145207: A=244.15],
[171768-234475: A=129.95],
[117591-126930: A=15.82],
[199482-212211: A=10.40],
[107728-109107: A=225.38],
[138148-138532: A=37.36],
[191909-282228: A=120.08],
[178739-187462: A=50.54],
[123652-127977: A=75.30],
[149089-193882: A=153.05],
[189716-197391: A=106.57],
[175429-210250: A=236.08],
[158778-168861: A=79.00],
[185320-227758: A=93.50],
[162930-176165: A=30.54],
[123412-137126: A=120.17],
[154451-200446: A=117.92],
[127573-144625: A=152.67],
[187980-200255: A=30.04],
[127794-142813: A=188.44],
[133451-158707: A=87.14],
[100510-100834: A=63.09],
[136089-164652: A=103.22],
[147372-149329: A=147.11],
[102631-105030: A=173.86],
[122108-136164: A=4.37],
[117931-119389: A=175.46],
[164645-224717: A=165.39],
[144244-174619: A=172.57],
[191939-266684: A=41.35],
[142751-161542: A=46.51],
[125642-137527: A=12.13],
[102601-103566: A=125.30],
[132568-157056: A=12.80],
[169620-234573: A=232.11],
[147822-193273: A=162.74],
[159966-208522: A=51.67],
[112818-122662: A=209.75],
[183142-224172: A=115.63],
[170379-210369: A=111.58],
[109709-118804: A=124.78],
[100454-100545: A=124.92],
[102226-103680: A=156.12],
[127628-141578: A=50.63],
[180012-257539: A=145.90],
[155490-157124: A=59.80],
[121142-129267: A=36.74],
[168110-222169: A=23.86],
[128921-143370: A=158.38],
[183733-193801: A=143.66],
[145540-145997: A=120.21],
[157191-168532: A=150.52],
[113880-126028: A=224.45],
[198513-221471: A=164.82],
[138067-153243: A=184.94],
[177764-180494: A=145.73],
[195822-257404: A=48.87],
[124333-136596: A=120.95],
[166271-186819: A=7.12],
[149574-168713: A=159.85],
[170865-175331: A=184.39],
[198070-221405: A=159.11],
[179776-193216: A=249.22],
[147045-182153: A=213.30],
[100835-101492: A=110.83],
[191165-250450: A=147.24],
[115939-129653: A=223.13],
[105018-107042: A=127.93],
[109763-112099: A=235.31],
[107083-110688: A=143.77],
[133840-164325: A=84.66],
[175310-199884: A=24.06],
[193077-233877: A=133.92],
[115013-122349: A=233.93],
[179715-181227: A=13.39],
[155089-185495: A=100.11],
[106965-111468: A=149.00],
[119372-122764: A=238.74],
[150831-169347: A=208.65],
[146172-177123: A=214.13],
[145581-180689: A=97.75],
[191431-253584: A=74.75],
[179414-185467: A=109.30],
[194457-248449: A=134.66],
[188923-255018: A=215.00],
[141755-151772: A=165.43],
[189341-221828: A=104.62],
[197034-205546: A=170.35],
[183244-207291: A=225.94],
[122021-138501: A=233.22],
[108489-109439: A=194.14],
[191610-259488: A=248.65],
[187020-234324: A=103.00],
[179855-208587: A=211.54],
[196383-252231: A=112.12],
[169700-205704: A=68.47],
[129612-146435: A=175.33],
[186208-198657: A=247.68],
[192246-259513: A=217.29],
[179779-190078: A=65.51],
[132773-144111: A=240.76],
[180293-231410: A=238.93],
[107283-109257: A=249.59],
[185188-266255: A=175.06],
[133814-134543: A=196.08],
[162865-217719: A=110.11],
[149477-180460: A=188.51],
[109919-111149: A=235.14],
[149689-157976: A=131.57],
[181250-184877: A=182.13],
[187178-263980: A=227.65],
[119305-119717: A=15.12],
[188472-216183: A=180.07],
[162573-199054: A=217.88],
[116843-122039: A=140.14],
[171474-185180: A=25.25],
[116737-125801: A=40.16],
[190220-220803: A=57.85],
[141912-176924: A=159.97],
[104194-106993: A=229.14],
[103210-103284: A=105.20],
[137533-141285: A=126.62],
[122819-123110: A=31.19],
[154336-171400: A=204.55],
[197003-219645: A=185.66],
[132087-152982: A=173.40],
[196671-197542: A=241.75],
[131735-134386: A=79.95],
[172787-208326: A=50.72],
[122597-123606: A=3.48],
[153805-168085: A=158.14],
[146991-173099: A=111.25],
[103319-105234: A=3.81],
[181259-246187: A=43.97],
[138262-142782: A=19.48],
[150388-194430: A=161.63],
[150852-191899: A=238.07],
[160878-207648: A=41.39],
[169709-201865: A=23.32],
[111207-114661: A=48.65],
[181401-227922: A=59.84],
[189925-271981: A=247.83],
[194270-231888: A=79.84],
[176364-236533: A=198.29],
[198577-242080: A=70.54],
[158927-207239: A=48.24],
[184902-261825: A=58.05],
[103296-105217: A=125.90],
[169377-174550: A=43.48],
[118378-123014: A=16.34],
[134295-164014: A=76.02],
[110581-110968: A=41.86],
[103513-105468: A=173.79],
[108937-114714: A=57.24],
[125701-132164: A=79.71],
[184210-250275: A=92.50],
[121339-131810: A=99.53],
[155837-191739: A=97.36],
[181440-203875: A=166.16],
[188383-216536: A=116.17],
[185000-209798: A=154.48],
[197822-244037: A=245.50],
[126146-144753: A=47.15],
[137439-161125: A=18.16],
[114946-128150: A=142.41],
[100744-101276: A=57.36],
[134721-162189: A=163.57],
[133829-147155: A=112.12],
[123983-143680: A=81.75],
[154313-158970: A=1.28],
[194649-217800: A=173.56],
[187617-272894: A=247.90],
[150162-197857: A=214.90],
[153322-203208: A=207.88],
[196619-283547: A=108.18],
[138209-151089: A=89.58],
[105669-108260: A=138.88],
[138734-152390: A=199.11],
[113794-125859: A=102.51],
[178465-186601: A=19.55],
[132250-151350: A=177.31],
[165070-189845: A=169.05],
[198886-208840: A=70.87],
[154085-196693: A=219.70],
[102903-103840: A=33.98],
[116628-132254: A=106.24],
[163933-219928: A=134.54],
[169689-205260: A=226.28],
[195836-286930: A=165.78],
[194205-273070: A=95.16],
[111185-116402: A=168.52],
[191964-242282: A=62.05],
[173213-212743: A=121.16],
[142945-177357: A=146.07],
[110975-115688: A=202.31],
[134663-166169: A=167.32],
[108192-116155: A=207.30],
[142320-174318: A=103.28],
[140763-142296: A=51.98],
[166516-230870: A=184.67],
[184051-251302: A=48.52],
[133582-159157: A=64.01],
[113091-114184: A=223.71],
[137525-161284: A=223.10],
[153721-201136: A=35.41],
[104449-105450: A=146.05],
[195087-250617: A=55.95],
[199026-241220: A=245.52],
[122944-132737: A=226.72],
[193039-215257: A=208.25],
[161595-209306: A=90.12],
[164176-219588: A=102.48],
[155916-158064: A=99.74],
[100863-101115: A=76.46],
[130445-141081: A=103.70],
[121514-137577: A=210.08],
[191637-232721: A=229.25],
[182122-192020: A=248.15],
[129413-154915: A=100.85],
[107765-111178: A=229.95],
[114370-126328: A=171.41],
[115547-123458: A=118.18],
[106637-109665: A=24.14],
[100711-101241: A=216.05],
[168612-191200: A=173.34],
[125982-147327: A=207.08],
[167323-216473: A=168.42],
[182935-194877: A=175.62],
[189255-228563: A=48.95],
[152356-186131: A=172.91],
[181508-239785: A=157.90],
[199394-268433: A=113.63],
[172731-180585: A=10.39],
[128688-137329: A=171.21],
[134801-148542: A=155.13],
[100765-101012: A=50.92],
[197233-293286: A=123.08],
[136998-159166: A=218.82],
[109720-114637: A=113.71],
[171185-212092: A=76.52],
[125380-139931: A=216.60],
[133489-163575: A=164.29],
[157713-173009: A=204.56],
[152580-152772: A=84.11],
[135713-166209: A=56.49],
[134889-166245: A=61.07],
[192042-192814: A=147.51],
[159124-197889: A=217.07],
[123505-136321: A=177.81],
[161822-171079: A=1.37],
[152574-184763: A=197.48],
[158341-183928: A=97.42],
[192516-277094: A=213.06],
[134323-141319: A=64.95],
[172814-206790: A=245.98],
[100081-100140: A=137.01],
[148439-161630: A=132.18],
[147441-149392: A=98.01],
[191349-270171: A=174.74],
[117064-121254: A=165.17],
[140468-155432: A=160.98],
[195870-262794: A=197.34],
[157927-202646: A=97.12],
[178127-199459: A=194.86],
[181560-246884: A=79.92],
[177578-207211: A=60.42],
[128849-137379: A=48.53],
[183451-253865: A=232.85],
[113312-115512: A=150.03],
[153709-184924: A=17.97],
[145282-177773: A=65.45],
[163756-169873: A=195.36],
[149430-183639: A=46.81],
[130234-131362: A=234.93],
[180146-182047: A=237.73],
[186531-263985: A=235.57],
[130525-150722: A=115.88],
[179710-226223: A=93.04],
[148319-178190: A=29.23],
[108023-114241: A=173.87],
[113611-117801: A=228.94],
[181611-259808: A=29.20],
[147700-178409: A=54.99],
[161678-208396: A=161.13],
[122101-142620: A=181.02],
[170721-233396: A=30.16],
[116811-127313: A=216.98],
[115346-123815: A=129.83],
[149876-191244: A=79.58],
[142511-167254: A=52.28],
[140368-162689: A=244.78],
[124717-148376: A=107.26],
[121123-139585: A=60.67],
[175594-182562: A=248.12],
[192963-215415: A=149.25],
[191131-253191: A=72.36],
[155419-162776: A=23.05],
[192917-198103: A=205.86],
[116054-121824: A=90.31],
[118094-118567: A=139.15],
[186679-187186: A=143.32],
[177789-187771: A=230.51],
[102274-103114: A=207.10],
[106773-108206: A=239.41],
[131441-139679: A=241.28],
[149318-188969: A=195.01],
[174638-226569: A=175.95],
[117860-134626: A=244.07],
[150324-154014: A=185.28],
[169296-220119: A=166.92],
[195821-252399: A=73.07],
[143333-171955: A=215.50],
[187358-263502: A=162.45],
[195267-279381: A=239.26],
[169596-218656: A=117.98],
[177884-212094: A=76.11],
[196892-263218: A=60.00],
[170046-188013: A=234.37],
[166800-220302: A=121.50],
[168428-231674: A=124.36],
[175988-248099: A=150.59],
[178732-223740: A=61.93],
[170403-183835: A=179.17],
[199405-226875: A=52.22],
[132039-144190: A=35.16],
[109381-111770: A=203.96],
[133624-140388: A=204.06],
[147748-169556: A=209.29],
[129506-150645: A=118.34],
[145132-166372: A=107.69],
[181839-246341: A=118.82],
[140849-167837: A=240.57],
[124486-134832: A=202.80],
[191442-199583: A=198.59],
[127292-136943: A=75.07],
[108073-110539: A=105.74],
[105065-108088: A=243.29],
[115355-119101: A=34.11],
[151997-162009: A=12.02],
[188707-271323: A=53.02],
[144176-182621: A=145.62],
[163665-198025: A=69.76],
[167793-218320: A=192.70],
[113717-122004: A=41.29],
[161161-212247: A=1.28],
[164475-180196: A=96.69],
[166210-205762: A=70.54],
[113705-119615: A=207.39],
[173988-177066: A=151.56],
[126967-132764: A=127.43],
[125887-136552: A=105.72],
[131611-140318: A=55.32],
[153301-176877: A=16.81],
[119239-138093: A=222.40],
[172815-181981: A=95.81],
[103653-105565: A=50.11],
[104691-108041: A=53.60],
[181995-199669: A=38.07],
[147364-193733: A=3.40],
[149758-174316: A=204.68],
[150187-181333: A=30.46],
[146462-173434: A=223.37],
[140869-156244: A=153.85],
[139574-167880: A=109.80],
[112654-121347: A=146.13],
[124726-138000: A=70.14],
[108930-111930: A=179.18],
[132058-140137: A=93.45],
[125086-126854: A=50.42],
[172720-200046: A=241.98],
[123667-137717: A=139.12],
[137635-137877: A=35.27],
[126136-145132: A=201.53],
[119890-129176: A=140.44],
[170769-174935: A=226.24],
[166369-168195: A=186.12],
[127873-146721: A=106.52],
[107571-110338: A=161.59],
[112861-122965: A=137.50],
[160457-202784: A=87.47],
[155784-204610: A=79.89],
[152620-180575: A=47.89],
[161937-220723: A=15.88],
[139615-148928: A=69.38],
[135061-157496: A=37.79],
[118325-132327: A=173.73],
[124099-127056: A=111.45],
[103426-106607: A=26.61],
[158930-198624: A=90.37],
[142682-157824: A=87.99],
[127127-146946: A=39.70],
[126515-129587: A=115.13],
[114769-122702: A=46.28],
[118242-124319: A=48.71],
[181234-196852: A=237.56],
[165185-172784: A=120.59],
[189102-228660: A=11.07],
[145983-162182: A=30.16],
[110443-113657: A=243.51],
[192536-276227: A=81.77],
[159119-208888: A=121.39],
[167799-207530: A=80.94],
[102613-105170: A=8.25],
[160601-207577: A=181.93],
[112231-118094: A=190.20],
[185884-207103: A=51.70],
[142034-142474: A=135.43],
[146763-188482: A=218.74],
[170910-182610: A=186.43],
[105444-106071: A=28.60],
[153158-195505: A=26.53],
[188798-220063: A=28.72],
[121397-139784: A=82.36],
[192246-261122: A=43.44],
[154980-177052: A=121.83],
[130097-152311: A=25.77],
[113158-122061: A=95.45],
[151841-155201: A=146.67],
[170305-239198: A=199.55],
[115572-115875: A=219.05],
[184393-223199: A=165.22],
[177834-218001: A=12.40],
[179939-180207: A=108.35],
[130280-155000: A=143.05],
[142918-151427: A=105.46],
[121581-131490: A=235.69],
[137709-151661: A=18.21],
[121643-130937: A=122.61],
[106565-112214: A=246.10],
[169010-200207: A=23.20],
[143564-144260: A=212.45],
[109110-109467: A=48.28],
[199415-227237: A=218.53],
[164425-170158: A=53.65],
[122337-136693: A=71.52],
[189658-266075: A=228.00],
[112935-123456: A=79.11],
[158427-213322: A=213.26],
[132655-156098: A=145.44],
[176003-200024: A=131.21],
[195027-197399: A=24.65],
[127120-146475: A=30.07],
[147917-181271: A=214.85],
[111438-111492: A=173.57],
[170031-208463: A=153.80],
[114334-128310: A=95.01],
[187784-253006: A=46.25],
[186094-213290: A=199.42],
[123632-133731: A=93.38],
[190800-239768: A=99.99],
[135989-142954: A=46.08],
[141799-159831: A=78.90],
[193302-277364: A=67.15],
[143182-162496: A=195.39],
[102822-105629: A=35.97],
[138923-151318: A=121.97],
[166647-214107: A=110.83],
[146259-154334: A=12.49],
[100136-100157: A=83.22],
[161303-163071: A=162.50],
[176941-203148: A=134.27],
[139402-163118: A=232.54],
[139168-158839: A=158.02],
[122926-134944: A=16.78],
[152528-196415: A=93.41],
[161732-183147: A=83.09],
[103292-106239: A=121.40],
[159069-178586: A=207.90],
[117689-131818: A=63.74],
[104620-106123: A=74.92],
[141023-161492: A=46.82],
[147059-149523: A=183.16],
[175206-190348: A=207.94],
[110915-110976: A=179.13],
[180290-186294: A=179.07],
[110150-118746: A=57.15],
[100181-100332: A=71.64],
[165538-186080: A=78.33],
[158491-199510: A=62.56],
[100696-101004: A=134.14],
[107205-111770: A=176.70],
[183778-216952: A=173.35],
[117359-126050: A=156.88],
[128054-139200: A=118.64],
[119254-136076: A=165.97],
[143205-162877: A=120.78],
[149275-183104: A=36.72],
[128698-131704: A=176.98],
[136321-170862: A=9.00],
[132492-138235: A=87.19],
[144589-162731: A=128.05],
[128519-133019: A=139.92],
[195762-220931: A=49.46],
[155724-210168: A=234.15],
[159041-184331: A=156.56],
[125666-133585: A=90.25],
[120225-136066: A=48.33],
[135472-163719: A=228.04],
[191468-233105: A=76.97],
[154081-187342: A=3.72],
[114290-126581: A=122.93],
[146640-163097: A=222.34],
[154144-184403: A=181.12],
[118794-136771: A=116.67],
[134174-134858: A=15.09],
[107759-114216: A=181.97],
[152557-189947: A=137.47],
[113309-117058: A=78.49],
[125039-130078: A=24.56],
[114405-123771: A=212.24],
[169783-215330: A=9.74],
[191781-196560: A=138.12],
[197375-221780: A=140.64],
[195427-221509: A=11.73],
[174808-234969: A=83.90],
[116441-130415: A=70.01],
[106914-111067: A=26.28],
[101607-102406: A=122.92],
[140751-180627: A=194.84],
[145060-159505: A=75.07],
[169832-186657: A=140.78],
[102480-102685: A=89.60],
[123456-145853: A=221.81],
[163892-195917: A=89.49],
[179798-238208: A=64.82],
[122016-127687: A=12.60],
[101583-101665: A=5.38],
[170535-201047: A=189.07],
[100669-101168: A=125.01],
[154589-174033: A=5.02],
[161443-163412: A=14.49],
[178858-223526: A=102.88],
[139020-175899: A=217.33],
[117303-120467: A=222.42],
[102067-103363: A=60.09],
[131511-141350: A=156.19],
[198689-221028: A=211.23],
[120873-131932: A=228.07],
[150888-170466: A=178.23],
[159138-215588: A=91.71],
[157111-200982: A=46.46],
[172415-182837: A=44.21],
[104237-106151: A=172.51],
[179503-246821: A=228.94],
[161724-204767: A=201.43],
[157634-183113: A=232.88],
[116030-130231: A=72.70],
[116512-123073: A=96.53],
[113875-120961: A=48.66],
[121474-124472: A=46.44],
[143357-150280: A=229.62],
[160990-194509: A=83.66],
[110320-111857: A=2.03],
[152071-203548: A=163.05],
[166549-223800: A=88.22],
[138777-142671: A=75.86],
[140085-164500: A=114.56],
[105146-107207: A=179.01],
[165455-213580: A=114.95],
[120602-136088: A=205.03],
[100574-100904: A=76.95],
[181248-218846: A=57.10],
[138892-157218: A=31.86],
[174086-222398: A=21.69],
[103572-104019: A=3.94],
[108747-112725: A=38.92],
[104645-106135: A=184.68],
[121441-124980: A=217.20],
[171693-214297: A=15.31],
[176662-241780: A=141.22],
[127900-153974: A=154.54],
[121957-135997: A=27.77],
[159088-166938: A=111.34],
[125045-144044: A=59.53],
[109122-110774: A=104.44],
[176085-248141: A=62.19],
[134778-168109: A=93.56],
[153619-192138: A=114.44],
[181901-213572: A=179.34],
[149359-160456: A=175.06],
[118908-123511: A=28.65],
[109961-114902: A=39.13],
[169751-219135: A=3.87],
[194076-200346: A=149.60],
[184199-225706: A=185.90],
[125711-131945: A=137.91],
[123465-127288: A=87.32],
[169290-203649: A=172.93],
[132004-161221: A=248.34],
[124993-141312: A=22.18],
[190478-221019: A=141.91],
[113245-116504: A=123.16],
[161898-168162: A=62.72],
[147099-162061: A=34.92],
[172136-210692: A=222.60],
[178557-183179: A=138.06],
[131654-140226: A=53.60],
[186930-268086: A=181.93],
[132636-161994: A=26.01],
[109867-117342: A=181.12],
[129473-138927: A=12.97],
[107379-109271: A=169.93],
[193205-225344: A=131.90],
[113562-124804: A=36.51],
[159739-203658: A=148.60],
[191815-267526: A=164.57],
[156330-184020: A=118.30],
[100796-100980: A=15.79],
[124356-136578: A=16.26],
[145131-189321: A=74.85],
[167956-227048: A=186.94],
[173190-240170: A=44.38],
[195231-224691: A=45.43],
[106838-109553: A=199.96],
[149457-173898: A=149.76],
[179655-253051: A=83.01],
[144537-181284: A=106.60],
[149003-153867: A=185.39],
[185610-253771: A=236.20],
[139216-158847: A=230.27],
[174572-213574: A=208.66],
[129966-130988: A=180.18],
[161460-191778: A=83.56],
[136860-143394: A=25.87],
[111762-123132: A=191.79],
[142991-150002: A=241.33],
[104840-109485: A=174.66],
[168518-218923: A=160.69],
[177032-186080: A=111.85],
[104908-107154: A=198.43],
[126886-152689: A=92.65],
[103507-104313: A=244.62],
[111647-113971: A=123.80],
[176353-200983: A=199.21],
[122932-126687: A=90.83],
[152673-164067: A=142.13],
[104100-105206: A=200.87],
[179958-256320: A=183.33],
[115587-119084: A=75.84],
[112125-113222: A=41.18],
[109309-112938: A=5.84],
[196462-275608: A=78.96],
[155841-200637: A=191.43],
[195522-213366: A=151.36],
[139966-157659: A=151.09],
[105304-109414: A=173.29],
[189491-220099: A=112.34],
[124531-145279: A=108.52],
[185770-215788: A=200.64],
[132348-139415: A=57.47],
[121749-134099: A=139.10],
[146299-147961: A=171.84],
[170796-239927: A=86.25],
[156520-169237: A=163.05],
[106748-108535: A=163.37],
[170705-205232: A=46.76],
[172479-235414: A=246.82],
[138260-146655: A=165.67],
[158746-196828: A=35.42],
[177766-223423: A=49.42],
[140650-164824: A=179.59],
[193847-272497: A=30.34],
[120617-123205: A=195.56],
[161850-201393: A=203.56],
[142173-170471: A=3.90],
[106299-108184: A=234.37],
[186433-231983: A=204.52],
[144957-174537: A=135.20],
[178678-251767: A=130.37],
[185491-221588: A=184.47],
[120596-126513: A=212.06],
[178461-188782: A=221.91],
[135212-139752: A=63.07],
[129806-129941: A=247.88],
[153928-203727: A=21.47],
[109763-111551: A=84.43],
[197487-215361: A=223.79],
[174997-226566: A=104.81],
[128133-134847: A=65.85],
[165847-169381: A=226.45],
[101695-102675: A=226.99],
[189460-246453: A=186.10],
[179346-190189: A=32.41],
[163493-217065: A=216.46],
[177351-190645: A=140.85],
[189316-201306: A=68.00],
[103838-104211: A=181.51],
[188425-259890: A=227.75],
[111490-113390: A=167.32],
[183573-235995: A=89.43],
[155925-158901: A=55.24],
[165737-228272: A=131.52],
[149274-184385: A=146.65],
[166492-213064: A=165.27],
[107746-111068: A=14.98],
[124134-131389: A=144.10],
[148258-189061: A=187.40],
[194000-258539: A=8.29],
[157567-184182: A=46.64],
[151735-156993: A=78.90],
[197367-291938: A=42.75],
[108809-115559: A=11.82],
[198499-237372: A=195.70],
[154801-162732: A=237.57],
[193666-256097: A=239.85],
[182626-262029: A=61.15],
[119167-123554: A=38.36],
[107730-115145: A=166.74],
[141725-150389: A=56.11],
[189281-191934: A=21.09],
[128425-135422: A=242.11],
[176275-235520: A=209.12],
[178109-249378: A=100.42],
[195640-200199: A=204.70],
[166316-194400: A=182.33],
[176933-193279: A=179.72],
[105268-107493: A=53.48],
[182488-216643: A=55.89],
[189368-265425: A=202.41],
[101875-102094: A=49.38],
[191628-203193: A=153.33],
[149026-184344: A=161.92],
[173956-226813: A=63.76],
[129214-137028: A=50.74],
[154388-165485: A=231.84],
[104630-106026: A=224.57],
[170044-232435: A=182.17],
[175640-206218: A=187.22],
[181306-219295: A=83.05],
[196034-277602: A=193.34],
[102454-102532: A=222.25],
[160711-208816: A=81.15],
[152426-161736: A=53.90],
[172089-175472: A=119.76],
[197913-210967: A=127.97],
[172539-186906: A=206.51],
[121417-139516: A=201.16],
[134021-135544: A=75.05],
[186512-201435: A=229.04],
[164124-193957: A=211.50],
[183741-256233: A=11.52],
[191764-215899: A=20.78],
[169162-226722: A=44.28],
[105792-106414: A=217.77],
[106656-112108: A=223.96],
[108728-114852: A=120.75],
[187217-192464: A=113.57],
[162569-190814: A=227.17],
[156049-165852: A=163.70],
[166168-168979: A=243.28],
[121201-128656: A=31.15],
[186327-196731: A=45.52],
[122956-125091: A=5.93],
[113944-126356: A=148.61],
[181728-256134: A=232.05],
[104960-106595: A=239.81],
[194559-243857: A=27.69],
[151165-176071: A=158.81],
[158314-182553: A=181.85],
[121152-121260: A=106.74],
[146854-158888: A=187.96],
[142345-157453: A=126.64],
[152923-187737: A=57.41],
[160660-204964: A=21.23],
[130504-158085: A=197.18],
[131356-149338: A=135.46],
[111247-117357: A=83.26],
[119096-122811: A=97.10],
[131188-131514: A=29.99],
[106958-107128: A=140.26],
[197103-276253: A=109.35],
[105454-110783: A=101.02],
[104931-105540: A=158.34],
[123349-126981: A=208.16],
[177757-207803: A=225.37],
[121481-139989: A=35.38],
[133763-156818: A=238.13],
[128594-132555: A=185.49],
[126856-146671: A=237.86],
[101669-102760: A=14.30],
[156241-210884: A=233.35],
[194169-247039: A=88.14],
[149923-154819: A=8.43],
[139299-165300: A=62.31],
[151731-170704: A=89.20],
[182638-219322: A=92.85],
[197457-269453: A=224.27],
[183383-214547: A=113.95],
[197250-255729: A=227.66],
[141660-179787: A=227.74],
[121000-131420: A=64.77],
[167352-224267: A=47.17],
[177589-217863: A=55.06],
[139538-170280: A=87.92],
[158991-172450: A=224.38],
[124515-141166: A=112.18],
[112617-117488: A=76.46],
[117437-127293: A=144.08],
[181509-207529: A=61.43],
[191228-224248: A=54.02],
[149670-167823: A=124.50],
[196452-202576: A=93.77],
[108031-115841: A=153.06],
[174293-229854: A=144.03],
[169305-185979: A=228.44],
[135130-145074: A=15.32],
[148922-183658: A=43.11],
[136731-147179: A=150.11],
[165108-199106: A=77.69],
[102018-103277: A=228.90],
[154135-199941: A=88.02],
[145953-164768: A=115.17],
[154440-164638: A=191.70],
[164632-205771: A=104.47],
[164004-168303: A=227.24],
[179143-205280: A=205.87],
[113622-123376: A=45.88],
[147650-166911: A=26.58],
[157299-180416: A=61.51],
[145669-147683: A=123.62],
[131707-134031: A=103.31],
[174191-242984: A=100.40],
[112316-124461: A=27.40],
[128652-139728: A=80.89],
[196690-259165: A=122.86],
[103372-104463: A=200.75],
[135348-138167: A=152.42],
[145331-146331: A=202.24],
[107632-113415: A=144.31],
[172782-211721: A=83.29],
[126707-151852: A=68.92],
[137741-175152: A=9.07],
[124984-125875: A=235.10],
[190980-266086: A=9.28],
[198933-209777: A=9.46],
[183223-261237: A=239.36],
[139632-163399: A=61.08],
[102845-104938: A=206.32],
[117268-119416: A=143.30],
[174187-199685: A=236.98],
[115840-126637: A=234.10],
[188204-236441: A=23.07],
[148106-149510: A=142.96],
[108493-116700: A=203.16],
[136806-170709: A=221.27],
[158726-201693: A=189.95],
[153978-166113: A=139.78],
[121694-123244: A=177.97],
[162198-207765: A=205.35],
[178273-207182: A=203.50],
